Date,Close,balance,trade,stock_value,whole_value
202,101.4227591,109607.4673,,70995.9314,180603.3987
203,101.2250373,109607.4673,,70857.5261,180464.9934
204,103.0213627,109607.4673,,72114.95391,181722.4212
205,105.2808171,132055.5933,,73696.57196,205752.1653
206,95.3657846,132055.5933,,66756.04922,198811.6425
207,92.74255895,132055.5933,,64919.79127,196975.3846
208,96.98686067,132055.5933,,67890.80247,199946.3958
209,94.2311317,132055.5933,,65961.79219,198017.3855
210,92.30763436,144997.7034,,64615.34405,209613.0474
211,88.02467717,144997.7034,,61617.27402,206614.9774
212,83.14978901,144997.7034,,58204.8523,203202.5557
213,86.65896362,144997.7034,,60661.27453,205658.9779
214,89.50758779,144997.7034,,62655.31145,207653.0148
215,89.31735971,144227.4447,,62522.15179,206749.5965
216,88.27702329,144227.4447,,61793.9163,206021.361
217,93.70876677,144227.4447,,65596.13674,209823.5814
218,96.70259023,144227.4447,,67691.81316,211919.2579
219,95.59453031,144227.4447,,66916.17122,211143.6159
220,99.32189298,164602.1143,,69525.32509,234127.4394
221,98.24205651,164602.1143,,68769.43956,233371.5539
222,98.06770313,164602.1143,,68647.39219,233249.5065
223,98.37365068,164602.1143,,68861.55547,233463.6698
224,95.77518497,164602.1143,,67042.62948,231644.7438
225,97.5662964,162891.0374,,68296.40748,231187.4449
226,99.28868599,162891.0374,,69502.0802,232393.1176
227,97.82286434,162891.0374,,68476.00503,231367.0425
228,96.90426327,162891.0374,,67832.98429,230724.0217
229,95.69124688,162891.0374,,66983.87282,229874.9103
230,101.3126831,159451.9886,,70918.87819,230370.8668
231,101.7895801,159451.9886,,71252.70608,230704.6947
232,100.7997366,159451.9886,,70559.81563,230011.8042
233,100.6944241,159451.9886,,70486.09687,229938.0854
234,96.65034302,159451.9886,,67655.24011,227107.2287
235,95.6321306,153998.0283,,66942.49142,220940.5198
236,94.56273548,153998.0283,,66193.91484,220191.9432
237,93.63592642,153998.0283,,65545.1485,219543.1768
238,94.29672793,153998.0283,,66007.70955,220005.7379
239,96.46487535,153998.0283,,67525.41275,221523.4411
240,95.74336704,151516.9081,,67020.35693,218537.2651
241,91.62650013,151516.9081,,64138.55009,215655.4582
242,91.24343168,151516.9081,,63870.40218,215387.3103
243,89.437716,151516.9081,,62606.4012,214123.3093
244,89.81556758,151516.9081,,62870.89731,214387.8054
245,91.39912094,149615.3116,,63979.38466,213594.6963
246,88.54760578,149615.3116,,61983.32405,211598.6356
247,90.32683212,149615.3116,,63228.78248,212844.0941
248,88.41247462,149615.3116,,61888.73223,211504.0438
249,86.44748689,149615.3116,,60513.24083,210128.5524
250,89.64471194,147574.4849,,62751.29836,210325.7833
