Date,Close,balance,trade,stock_value,whole_value
221,98.15650265,126952.7083,,39262.60106,166215.3094
222,95.02842609,126952.7083,,38011.37044,164964.0788
223,93.88850719,126952.7083,,37555.40287,164508.1112
224,92.39882687,126952.7083,,36959.53075,163912.2391
225,92.78948852,144711.3674,,37115.79541,181827.1628
226,93.85732069,144711.3674,,37542.92828,182254.2957
227,93.42058406,144711.3674,,37368.23363,182079.601
228,94.02775119,144711.3674,,37611.10048,182322.4679
229,92.85487941,144711.3674,,37141.95177,181853.3192
230,96.34400266,158805.2853,,38537.60106,197342.8864
231,95.71481462,158805.2853,,38285.92585,197091.2112
232,94.36403493,158805.2853,,37745.61397,196550.8993
233,91.46239314,158805.2853,,36584.95726,195390.2426
234,88.57851697,158805.2853,,35431.40679,194236.6921
235,88.4387091,170737.7058,,35375.48364,206113.1894
236,90.24998755,170737.7058,,36099.99502,206837.7008
237,89.16209405,170737.7058,,35664.83762,206402.5434
238,90.26138653,170737.7058,,36104.55461,206842.2604
239,92.69313294,170737.7058,,37077.25318,207814.959
240,91.86127914,170989.084,,36744.51166,207733.5956
241,88.56422662,170989.084,,35425.69065,206414.7746
242,87.79039385,170989.084,,35116.15754,206105.2415
243,85.17390057,170989.084,,34069.56023,205058.6442
244,84.95823931,170989.084,,33983.29573,204972.3797
245,86.80104441,165833.5673,,34720.41776,200553.985
246,83.96760371,165833.5673,,33587.04149,199420.6088
247,84.773412,165833.5673,,33909.3648,199742.9321
248,83.57851105,165833.5673,,33431.40442,199264.9717
249,81.77985411,165833.5673,,32711.94164,198545.5089
250,84.05065358,192354.1364,,33620.26143,192354.1364
