Date,Open,High,Low,Close,Adj Close,Volume,trade,,,,,balance,average_price,shares
2021/12/22,173.039993,175.860001,172.149994,175.639999,173.655869,92135300,,,,,,101259.5005,0,0
2021/12/23,175.850006,176.850006,175.270004,176.279999,174.288635,68356600,,,,,,101259.5005,0,0
2021/12/27,177.089996,180.419998,177.070007,180.330002,178.292877,74919600,,,,,,101259.5005,0,0
2021/12/28,180.160004,181.330002,178.529999,179.289993,177.264618,79144300,,,,,,101259.5005,0,0
2021/12/29,179.330002,180.630005,178.139999,179.380005,177.353592,62348900,,,,,,101259.5005,0,0
2021/12/30,179.470001,180.570007,178.089996,178.199997,176.186966,59773000,,,,,,101259.5005,0,0
2021/12/31,178.089996,179.229996,177.259995,177.570007,175.564072,64062300,,,,,,101259.5005,0,0
2022/1/3,177.830002,182.880005,177.710007,182.009995,179.953873,104487900,,,,,,101259.5005,0,0
2022/1/4,182.630005,182.940002,179.119995,179.699997,177.669998,99310400,,,,,,101259.5005,0,0
2022/1/5,179.610001,180.169998,174.639999,174.919998,172.943985,94537600,,,,,,101259.5005,0,0
2022/1/6,172.699997,175.300003,171.639999,172,170.056961,96904000,,,,,,101259.5005,0,0
2022/1/7,172.889999,174.139999,171.029999,172.169998,170.225052,86709100,,,,,,101259.5005,0,0
2022/1/10,169.080002,172.5,168.169998,172.190002,170.244827,106765600,,,,,,97624.50063,0,0
2022/1/11,172.320007,175.179993,170.820007,175.080002,173.102158,76138300,,,,,,97624.50063,0,0
2022/1/12,176.119995,177.179993,174.820007,175.529999,173.547104,74805200,,,,,,97624.50063,0,0
2022/1/13,175.779999,176.619995,171.789993,172.190002,170.244827,84505800,,,,,,97624.50063,0,0
2022/1/14,171.339996,173.779999,171.089996,173.070007,171.114914,80440800,,,,,,97624.50063,0,0
2022/1/18,171.509995,172.539993,169.410004,169.800003,167.881821,90956700,,,,,,97624.50063,0,0
2022/1/19,170,171.080002,165.940002,166.229996,164.352158,94815000,,,,,,97624.50063,0,0
2022/1/20,166.979996,169.679993,164.179993,164.509995,162.651581,91420500,,,,,,97624.50063,0,0
2022/1/21,164.419998,166.330002,162.300003,162.410004,160.575317,122848900,,,,,,97624.50063,0,0
2022/1/24,160.020004,162.300003,154.699997,161.619995,159.794205,162294600,,,,,,97624.50063,0,0
2022/1/25,158.979996,162.759995,157.020004,159.779999,157.975037,115798400,,,,,,97624.50063,0,0
2022/1/26,163.5,164.389999,157.820007,159.690002,157.886047,108275300,,,,,,97624.50063,0,0
2022/1/27,162.449997,163.839996,158.279999,159.220001,157.421356,121954600,,,,,,97624.50063,0,0
2022/1/28,165.710007,170.350006,162.800003,170.330002,168.405838,179935700,,,,,,97624.50063,0,0
2022/1/31,170.160004,175,169.509995,174.779999,172.805588,115541600,,,,,,97624.50063,0,0
2022/2/1,174.009995,174.839996,172.309998,174.610001,172.637497,86213900,,,,,,97624.50063,0,0
2022/2/2,174.75,175.880005,173.330002,175.839996,173.853592,84914300,,,,,,97624.50063,0,0
2022/2/3,174.479996,176.240005,172.119995,172.899994,170.946808,89418100,,,,,,97624.50063,0,0
2022/2/4,171.679993,174.100006,170.679993,172.389999,170.659714,82465400,,,,,,97624.50063,0,0
2022/2/7,172.860001,173.949997,170.949997,171.660004,169.937042,77251200,,,,,,97624.50063,0,0
2022/2/8,171.729996,175.350006,171.429993,174.830002,173.075256,74829200,,,,,,97624.50063,0,0
2022/2/9,176.050003,176.649994,174.899994,176.279999,174.510696,71285000,,,,,,97624.50063,0,0
2022/2/10,174.139999,175.479996,171.550003,172.119995,170.392395,90865900,,,,,,97624.50063,0,0
2022/2/11,172.330002,173.080002,168.039993,168.639999,166.947357,98670700,,,,,,97624.50063,0,0
2022/2/14,167.369995,169.580002,166.559998,168.880005,167.184952,86185500,,,,,,97624.50063,0,0
2022/2/15,170.970001,172.949997,170.25,172.789993,171.055695,62527400,,,,,,97624.50063,0,0
2022/2/16,171.850006,173.339996,170.050003,172.550003,170.81813,61177400,,,,,,97624.50063,0,0
2022/2/17,171.029999,171.910004,168.470001,168.880005,167.184952,69589300,,,,,,97624.50063,0,0
2022/2/18,169.820007,170.539993,166.190002,167.300003,165.620804,82772700,,,,,,97624.50063,0,0
2022/2/22,164.979996,166.690002,162.149994,164.320007,162.670731,91162800,,,,,,97624.50063,0,0
2022/2/23,165.539993,166.149994,159.75,160.070007,158.463379,90009200,,,,,,97624.50063,0,0
2022/2/24,152.580002,162.850006,152,162.740005,161.106598,141147500,,,,,,97624.50063,0,0
2022/2/25,163.839996,165.119995,160.869995,164.850006,163.195404,91974200,,,,,,97624.50063,0,0
2022/2/28,163.059998,165.419998,162.429993,165.119995,163.462692,95056600,FALSE,,,,,81112.50113,165.119995,100
2022/3/1,164.699997,166.600006,161.970001,163.199997,161.561966,83474400,FALSE,,,,,64792.50143,164.159996,200
2022/3/2,164.389999,167.360001,162.949997,166.559998,164.888229,79724800,,,,,,97624.50063,164.159996,200
2022/3/3,168.470001,168.910004,165.550003,166.229996,164.561554,76678400,,,,,,97624.50063,164.159996,200
